time,speed,devbattery,carbattery,ignstatus,latitude,longitude
2025-10-26 00:00:16,0,4.1,25.38,1,18.706566,73.039948
2025-10-26 00:00:46,0,4.11,25.4,1,18.706568,73.039928
2025-10-26 00:01:16,0,4.11,25.38,1,18.706568,73.039924
2025-10-26 00:01:46,0,4.11,25.38,1,18.706564,73.039933
2025-10-26 00:02:16,0,4.11,25.4,1,18.706563,73.039928
2025-10-26 00:02:46,0,4.11,25.38,1,18.706558,73.039918
2025-10-26 00:03:16,0,4.11,25.38,1,18.706563,73.039933
2025-10-26 00:03:46,0,4.11,25.38,1,18.706568,73.039936
2025-10-26 00:04:16,0,4.11,25.38,1,18.706573,73.039944
2025-10-26 00:04:46,0,4.11,25.38,1,18.706578,73.039947
2025-10-26 00:05:16,0,4.11,25.38,1,18.706574,73.039948
2025-10-26 00:05:46,0,4.11,25.38,1,18.706577,73.039953
2025-10-26 00:06:16,0,4.11,25.38,1,18.70658,73.039951
2025-10-26 00:06:46,0,4.11,25.38,1,18.706576,73.039947
2025-10-26 00:07:16,0,4.11,25.38,1,18.706567,73.039948
2025-10-26 00:07:46,0,4.11,25.38,1,18.706545,73.039945
2025-10-26 00:08:16,0,4.1,25.35,1,18.706549,73.039951
2025-10-26 00:08:46,0,4.11,25.38,1,18.706563,73.039957
2025-10-26 00:09:16,0,4.1,25.35,1,18.706565,73.039959
2025-10-26 00:09:46,0,4.11,25.35,1,18.706565,73.039949
2025-10-26 00:10:16,0,4.11,25.35,1,18.706568,73.039945
2025-10-26 00:10:46,0,4.11,25.35,1,18.706565,73.039922
2025-10-26 00:11:16,0.72,4.11,25.35,1,18.706562,73.039908
2025-10-26 00:11:46,0,4.11,25.38,1,18.706565,73.039912
2025-10-26 00:12:16,0,4.11,25.35,1,18.706567,73.039914
2025-10-26 00:12:46,0,4.11,25.38,1,18.706567,73.039912
2025-10-26 00:13:16,0,4.11,25.35,1,18.706565,73.039914
2025-10-26 00:13:46,0,4.11,25.38,1,18.706564,73.039913
2025-10-26 00:14:16,0,4.11,25.35,1,18.706564,73.039914
2025-10-26 00:14:46,0,4.11,25.35,1,18.706564,73.039914
2025-10-26 00:15:16,0,4.11,25.35,1,18.706564,73.039915
2025-10-26 00:15:46,0,4.11,25.35,1,18.706564,73.039917
2025-10-26 00:16:16,0,4.11,25.33,1,18.706563,73.039917
2025-10-26 00:16:46,0,4.11,25.35,1,18.706561,73.039917
2025-10-26 00:17:16,0,4.11,25.38,1,18.70656,73.039917
2025-10-26 00:17:46,0,4.11,25.35,1,18.70656,73.039917
2025-10-26 00:18:16,0,4.11,25.35,1,18.70656,73.039915
2025-10-26 00:18:46,0,4.11,25.35,1,18.706561,73.039915
2025-10-26 00:19:16,0,4.11,25.35,1,18.706561,73.039917
2025-10-26 00:19:46,0,4.1,25.35,1,18.706563,73.039916
2025-10-26 00:20:16,0,4.1,25.33,1,18.706564,73.039917
2025-10-26 00:20:46,0,4.1,25.35,1,18.706561,73.039918
2025-10-26 00:21:16,0,4.11,25.33,1,18.706558,73.03992
2025-10-26 00:21:46,0,4.11,25.35,1,18.706555,73.039933
2025-10-26 00:22:16,0,4.11,25.35,1,18.706564,73.039932
2025-10-26 00:22:46,0,4.1,25.35,1,18.706568,73.039934
2025-10-26 00:23:16,0,4.11,25.35,1,18.706563,73.039947
2025-10-26 00:23:46,0,4.11,25.33,1,18.706558,73.039943
2025-10-26 00:24:16,0,4.11,25.33,1,18.706551,73.03994
2025-10-26 00:24:46,0,4.1,25.35,1,18.706551,73.039934
2025-10-26 00:25:16,0,4.1,25.33,1,18.70656,73.039944
2025-10-26 00:25:46,0,4.11,25.35,1,18.706554,73.039953
2025-10-26 00:26:16,0,4.1,25.33,1,18.706551,73.039957
2025-10-26 00:26:46,0,4.1,25.33,1,18.706557,73.039958
2025-10-26 00:27:16,0,4.1,25.33,1,18.706557,73.039949
2025-10-26 00:27:46,0,4.11,25.33,1,18.706548,73.03994
